delivery_id,fulfilment_unit_id,rider_id,status,rider_arrived_at_store,picked_up_at,delivery_started_at,delivered_at,delivery_distance,traffic_condition,weather_condition,cancelled_at,cancellation_reason,failed_at,failure_reason
DEL-000001,FU-000001,RID-000036,DELIVERED,2026-08-15 22:58:00,2026-08-15 23:02:49,2026-08-15 23:03:37,2026-08-15 23:07:37,2.77,MODERATE,CLOUDY,,,,
DEL-000002,FU-000003,RID-000001,DELIVERED,2026-08-15 23:18:00,2026-08-15 23:20:46,2026-08-15 23:21:14,2026-08-15 23:31:19,2.99,HIGH,CLOUDY,,,,
DEL-000003,FU-000004,RID-000035,DELIVERED,2026-08-15 09:08:00,2026-08-15 09:12:59,2026-08-15 09:14:07,2026-08-15 09:18:29,5.22,MODERATE,CLOUDY,,,,
DEL-000004,FU-000005,,NO_RIDER_ACCEPTED,,,,,1.91,LOW,CLEAR,,,,
DEL-000005,FU-000006,RID-000003,DELIVERED,2026-08-15 22:19:00,2026-08-15 22:27:28,2026-08-15 22:28:49,2026-08-15 22:36:14,1.91,MODERATE,CLEAR,,,,
DEL-000006,FU-000008,RID-000012,DELIVERED,2026-08-15 23:01:00,2026-08-15 23:01:43,2026-08-15 23:02:44,2026-08-15 23:17:14,0.92,SEVERE,CLEAR,,,,
DEL-000007,FU-000010,RID-000040,DELIVERED,2026-08-15 08:34:00,2026-08-15 08:42:24,2026-08-15 08:43:00,2026-08-15 08:49:37,1.78,HIGH,CLEAR,,,,
DEL-000008,FU-000011,,NO_RIDER_ACCEPTED,,,,,7.93,SEVERE,CLOUDY,,,,
DEL-000009,FU-000012,RID-000030,DELIVERED,2026-08-15 19:45:00,2026-08-15 19:49:05,2026-08-15 19:49:34,2026-08-15 19:52:45,8.06,MODERATE,CLOUDY,,,,
DEL-000010,FU-000013,RID-000002,DELIVERED,2026-08-15 13:59:00,2026-08-15 14:02:46,2026-08-15 14:03:05,2026-08-15 14:06:39,3.88,MODERATE,CLEAR,,,,
DEL-000011,FU-000014,RID-000028,DELIVERED,2026-08-15 20:10:00,2026-08-15 20:12:41,2026-08-15 20:14:02,2026-08-15 20:22:51,4.87,MODERATE,CLEAR,,,,
DEL-000012,FU-000015,RID-000016,DELIVERED,2026-08-15 20:08:00,2026-08-15 20:11:10,2026-08-15 20:12:18,2026-08-15 20:15:38,1.35,LOW,CLEAR,,,,
DEL-000013,FU-000017,RID-000007,DELIVERED,2026-08-15 20:27:00,2026-08-15 20:28:36,2026-08-15 20:29:26,2026-08-15 20:36:22,5.32,HIGH,CLEAR,,,,
DEL-000014,FU-000018,RID-000017,DELIVERED,2026-08-15 07:43:00,2026-08-15 07:51:57,2026-08-15 07:53:14,2026-08-15 08:08:16,6.29,SEVERE,CLEAR,,,,
DEL-000015,FU-000019,RID-000044,DELIVERED,2026-08-15 13:37:00,2026-08-15 13:44:24,2026-08-15 13:45:48,2026-08-15 13:53:28,2.73,LOW,CLEAR,,,,
DEL-000016,FU-000020,,NO_RIDER_ACCEPTED,,,,,3.55,LOW,CLEAR,,,,
DEL-000017,FU-000021,,NO_RIDER_ACCEPTED,,,,,2.86,HIGH,CLOUDY,,,,
DEL-000018,FU-000022,RID-000023,DELIVERED,2026-08-15 12:43:00,2026-08-15 12:47:42,2026-08-15 12:48:31,2026-08-15 12:56:11,5.99,MODERATE,CLEAR,,,,
DEL-000019,FU-000023,RID-000049,DELIVERED,2026-08-15 13:35:00,2026-08-15 13:36:25,2026-08-15 13:37:47,2026-08-15 13:48:39,2.95,HIGH,CLOUDY,,,,
DEL-000020,FU-000024,RID-000008,DELIVERED,2026-08-15 17:18:00,2026-08-15 17:21:02,2026-08-15 17:21:22,2026-08-15 17:29:25,4.84,HIGH,CLOUDY,,,,
DEL-000021,FU-000025,RID-000022,DELIVERED,2026-08-16 00:05:00,2026-08-16 00:07:07,2026-08-16 00:08:14,2026-08-16 00:14:47,4.37,MODERATE,CLOUDY,,,,
DEL-000022,FU-000026,RID-000037,DELIVERED,2026-08-15 17:51:00,2026-08-15 17:54:34,2026-08-15 17:55:51,2026-08-15 18:06:09,5.2,HIGH,CLOUDY,,,,
DEL-000023,FU-000027,RID-000024,DELIVERED,2026-08-15 21:41:00,2026-08-15 21:42:18,2026-08-15 21:43:17,2026-08-15 21:48:43,1.4,MODERATE,CLEAR,,,,
DEL-000024,FU-000028,RID-000011,DELIVERED,2026-08-15 18:28:00,2026-08-15 18:32:53,2026-08-15 18:33:10,2026-08-15 18:40:15,3.26,MODERATE,CLOUDY,,,,
DEL-000025,FU-000029,RID-000004,DELIVERED,2026-08-15 18:29:00,2026-08-15 18:33:45,2026-08-15 18:34:29,2026-08-15 18:37:37,3.3,LOW,CLOUDY,,,,
DEL-000026,FU-000030,,NO_RIDER_ACCEPTED,,,,,4.74,SEVERE,CLEAR,,,,
DEL-000027,FU-000031,RID-000006,DELIVERED,2026-08-15 14:03:00,2026-08-15 14:04:59,2026-08-15 14:05:44,2026-08-15 14:17:00,7.65,HIGH,CLEAR,,,,
DEL-000028,FU-000032,RID-000045,DELIVERED,2026-08-15 11:12:00,2026-08-15 11:20:00,2026-08-15 11:20:37,2026-08-15 11:26:40,8.73,MODERATE,CLEAR,,,,
DEL-000029,FU-000033,RID-000032,DELIVERED,2026-08-15 11:16:00,2026-08-15 11:22:51,2026-08-15 11:24:09,2026-08-15 11:35:49,5.28,SEVERE,CLEAR,,,,
DEL-000030,FU-000034,RID-000014,DELIVERED,2026-08-15 22:43:00,2026-08-15 22:53:16,2026-08-15 22:54:17,2026-08-15 23:01:19,4.52,MODERATE,CLEAR,,,,
DEL-000031,FU-000035,RID-000047,DELIVERED,2026-08-15 18:29:00,2026-08-15 18:33:19,2026-08-15 18:34:28,2026-08-15 18:37:42,7.73,MODERATE,CLOUDY,,,,
