fulfilment_unit_id,order_id,store_id,status,assigned_to_store_at,picking_started_at,picking_completed_at,packing_started_at,packing_completed_at,cancelled_at,cancellation_reason,failed_at,failure_reason,completed_at
FU-000001,ORD-000001,STR-007,READY_FOR_PICKING,2026-08-15 22:54:07,2026-08-15 22:55:27,2026-08-15 22:58:15,2026-08-15 22:58:45,2026-08-15 23:01:52,,,,,2026-08-15 23:11:03
FU-000002,ORD-000002,STR-019,FAILED,2026-08-16 00:00:16,,,,,,,2026-08-16 00:05:16,STORE_OPERATIONAL_FAILURE,
FU-000003,ORD-000004,STR-019,READY_FOR_PICKING,2026-08-15 23:11:02,2026-08-15 23:13:31,2026-08-15 23:16:37,2026-08-15 23:17:13,2026-08-15 23:18:26,,,,,2026-08-15 23:33:36
FU-000004,ORD-000005,STR-012,READY_FOR_PICKING,2026-08-15 09:03:59,2026-08-15 09:05:17,2026-08-15 09:08:34,2026-08-15 09:09:19,2026-08-15 09:11:46,,,,,2026-08-15 09:17:19
FU-000005,ORD-000006,STR-009,READY_FOR_PICKING,2026-08-15 18:14:15,2026-08-15 18:16:13,2026-08-15 18:21:15,2026-08-15 18:21:56,2026-08-15 18:24:24,,,,,
FU-000006,ORD-000007,STR-018,READY_FOR_PICKING,2026-08-15 22:15:13,2026-08-15 22:16:49,2026-08-15 22:19:40,2026-08-15 22:20:11,2026-08-15 22:21:28,,,,,2026-08-15 22:31:53
FU-000007,ORD-000007,STR-001,FAILED,2026-08-15 22:15:13,,,,,,,2026-08-15 22:16:13,STORE_OPERATIONAL_FAILURE,
FU-000008,ORD-000008,STR-014,READY_FOR_PICKING,2026-08-15 22:49:59,2026-08-15 22:52:55,2026-08-15 23:00:05,2026-08-15 23:00:29,2026-08-15 23:03:58,,,,,2026-08-15 23:18:07
FU-000009,ORD-000009,STR-010,CANCELLED,2026-08-15 23:49:36,,,,,2026-08-15 23:53:36,CUSTOMER_REQUEST,,,
FU-000010,ORD-000010,STR-016,READY_FOR_PICKING,2026-08-15 08:28:10,2026-08-15 08:30:14,2026-08-15 08:34:15,2026-08-15 08:34:35,2026-08-15 08:37:52,,,,,2026-08-15 08:51:32
FU-000011,ORD-000011,STR-005,READY_FOR_PICKING,2026-08-15 12:32:25,2026-08-15 12:33:30,2026-08-15 12:36:07,2026-08-15 12:36:52,2026-08-15 12:38:57,,,,,
FU-000012,ORD-000012,STR-016,READY_FOR_PICKING,2026-08-15 19:37:38,2026-08-15 19:39:06,2026-08-15 19:46:03,2026-08-15 19:46:27,2026-08-15 19:47:48,,,,,2026-08-15 19:54:15
FU-000013,ORD-000013,STR-004,READY_FOR_PICKING,2026-08-15 13:50:28,2026-08-15 13:51:43,2026-08-15 13:55:26,2026-08-15 13:56:06,2026-08-15 13:57:17,,,,,2026-08-15 14:05:29
FU-000014,ORD-000015,STR-016,READY_FOR_PICKING,2026-08-15 20:02:27,2026-08-15 20:04:22,2026-08-15 20:09:23,2026-08-15 20:09:58,2026-08-15 20:13:01,,,,,2026-08-15 20:20:21
FU-000015,ORD-000015,STR-010,READY_FOR_PICKING,2026-08-15 20:02:27,2026-08-15 20:05:27,2026-08-15 20:09:19,2026-08-15 20:09:43,2026-08-15 20:12:43,,,,,2026-08-15 20:17:14
FU-000016,ORD-000016,STR-007,CANCELLED,2026-08-15 22:52:40,,,,,2026-08-15 22:56:40,ITEM_UNAVAILABLE,,,
FU-000017,ORD-000017,STR-019,READY_FOR_PICKING,2026-08-15 20:19:52,2026-08-15 20:21:46,2026-08-15 20:24:41,2026-08-15 20:25:04,2026-08-15 20:27:22,,,,,2026-08-15 20:39:55
FU-000018,ORD-000018,STR-003,READY_FOR_PICKING,2026-08-15 07:39:06,2026-08-15 07:40:13,2026-08-15 07:44:40,2026-08-15 07:45:11,2026-08-15 07:48:30,,,,,2026-08-15 08:00:53
FU-000019,ORD-000019,STR-015,READY_FOR_PICKING,2026-08-15 13:32:12,2026-08-15 13:33:50,2026-08-15 13:38:27,2026-08-15 13:38:55,2026-08-15 13:41:03,,,,,2026-08-15 13:46:32
FU-000020,ORD-000020,STR-014,READY_FOR_PICKING,2026-08-15 23:51:34,2026-08-15 23:53:14,2026-08-15 23:56:41,2026-08-15 23:57:01,2026-08-15 23:59:26,,,,,
FU-000021,ORD-000021,STR-010,READY_FOR_PICKING,2026-08-15 23:21:05,2026-08-15 23:23:51,2026-08-15 23:26:18,2026-08-15 23:26:39,2026-08-15 23:28:47,,,,,
FU-000022,ORD-000022,STR-010,READY_FOR_PICKING,2026-08-15 12:38:10,2026-08-15 12:40:22,2026-08-15 12:47:57,2026-08-15 12:48:20,2026-08-15 12:51:40,,,,,2026-08-15 13:00:16
FU-000023,ORD-000023,STR-014,READY_FOR_PICKING,2026-08-15 13:25:22,2026-08-15 13:26:31,2026-08-15 13:31:40,2026-08-15 13:32:15,2026-08-15 13:35:18,,,,,2026-08-15 13:41:42
FU-000024,ORD-000024,STR-020,READY_FOR_PICKING,2026-08-15 17:12:15,2026-08-15 17:14:10,2026-08-15 17:20:10,2026-08-15 17:20:44,2026-08-15 17:23:46,,,,,2026-08-15 17:35:41
FU-000025,ORD-000025,STR-016,READY_FOR_PICKING,2026-08-15 23:55:52,2026-08-15 23:58:39,2026-08-16 00:00:42,2026-08-16 00:01:06,2026-08-16 00:03:12,,,,,2026-08-16 00:11:52
FU-000026,ORD-000026,STR-006,READY_FOR_PICKING,2026-08-15 17:45:12,2026-08-15 17:47:13,2026-08-15 17:52:15,2026-08-15 17:52:55,2026-08-15 17:55:02,,,,,2026-08-15 18:06:58
FU-000027,ORD-000027,STR-010,READY_FOR_PICKING,2026-08-15 21:36:36,2026-08-15 21:39:35,2026-08-15 21:44:28,2026-08-15 21:44:59,2026-08-15 21:47:06,,,,,2026-08-15 21:57:02
FU-000028,ORD-000028,STR-001,READY_FOR_PICKING,2026-08-15 18:22:44,2026-08-15 18:25:14,2026-08-15 18:29:30,2026-08-15 18:30:02,2026-08-15 18:32:26,,,,,2026-08-15 18:40:29
FU-000029,ORD-000028,STR-015,READY_FOR_PICKING,2026-08-15 18:22:44,2026-08-15 18:25:24,2026-08-15 18:28:31,2026-08-15 18:29:00,2026-08-15 18:32:14,,,,,2026-08-15 18:42:41
FU-000030,ORD-000029,STR-007,READY_FOR_PICKING,2026-08-15 23:44:15,2026-08-15 23:45:50,2026-08-15 23:50:48,2026-08-15 23:51:30,2026-08-15 23:53:40,,,,,
FU-000031,ORD-000030,STR-003,READY_FOR_PICKING,2026-08-15 13:56:00,2026-08-15 13:58:51,2026-08-15 14:06:45,2026-08-15 14:07:05,2026-08-15 14:08:11,,,,,2026-08-15 14:17:30
FU-000032,ORD-000032,STR-005,READY_FOR_PICKING,2026-08-15 11:08:12,2026-08-15 11:10:40,2026-08-15 11:16:40,2026-08-15 11:17:18,2026-08-15 11:18:48,,,,,2026-08-15 11:28:25
