event_id,event_type,occurred_at,order_id,fulfilment_unit_id,delivery_id,store_id,rider_id,reason
EVT-0000473,ORDER_CREATED,2026-08-15 07:12:43,ORD-000050,,,,,
EVT-0000474,PAYMENT_SUCCESS,2026-08-15 07:12:59,ORD-000050,,,,,
EVT-0000475,STORE_ASSIGNED,2026-08-15 07:14:34,ORD-000050,FU-000047,,STR-016,,
EVT-0000476,PICKING_STARTED,2026-08-15 07:16:52,ORD-000050,FU-000047,,STR-016,,
EVT-0000380,ORDER_CREATED,2026-08-15 07:18:57,ORD-000037,,,,,
EVT-0000381,PAYMENT_SUCCESS,2026-08-15 07:19:34,ORD-000037,,,,,
EVT-0000382,STORE_ASSIGNED,2026-08-15 07:20:38,ORD-000037,FU-000038,,STR-010,,
EVT-0000383,PICKING_STARTED,2026-08-15 07:22:00,ORD-000037,FU-000038,,STR-010,,
EVT-0000477,PICKING_COMPLETED,2026-08-15 07:22:09,ORD-000050,FU-000047,,STR-016,,
EVT-0000478,PACKING_STARTED,2026-08-15 07:22:32,ORD-000050,FU-000047,,STR-016,,
EVT-0000387,RIDER_ASSIGNED,2026-08-15 07:26:00,ORD-000037,FU-000038,DEL-000034,STR-010,RID-000002,
EVT-0000479,PACKING_COMPLETED,2026-08-15 07:26:02,ORD-000050,FU-000047,,STR-016,,
EVT-0000384,PICKING_COMPLETED,2026-08-15 07:26:27,ORD-000037,FU-000038,,STR-010,,
EVT-0000385,PACKING_STARTED,2026-08-15 07:27:01,ORD-000037,FU-000038,,STR-010,,
EVT-0000386,PACKING_COMPLETED,2026-08-15 07:29:03,ORD-000037,FU-000038,,STR-010,,
EVT-0000388,RIDER_ARRIVED_AT_STORE,2026-08-15 07:31:00,ORD-000037,FU-000038,DEL-000034,STR-010,RID-000002,
EVT-0000389,PICKED_UP,2026-08-15 07:31:43,ORD-000037,FU-000038,DEL-000034,STR-010,RID-000002,
EVT-0000390,DELIVERY_STARTED,2026-08-15 07:32:13,ORD-000037,FU-000038,DEL-000034,STR-010,RID-000002,
EVT-0000159,ORDER_CREATED,2026-08-15 07:38:03,ORD-000018,,,,,
EVT-0000160,PAYMENT_SUCCESS,2026-08-15 07:38:23,ORD-000018,,,,,
EVT-0000161,STORE_ASSIGNED,2026-08-15 07:39:06,ORD-000018,FU-000018,,STR-003,,
EVT-0000166,RIDER_ASSIGNED,2026-08-15 07:40:00,ORD-000018,FU-000018,DEL-000014,STR-003,RID-000017,
EVT-0000391,DELIVERED,2026-08-15 07:41:51,ORD-000037,FU-000038,DEL-000034,STR-010,RID-000002,
EVT-0000162,PICKING_STARTED,2026-08-15 07:42:06,ORD-000018,FU-000018,,STR-003,,
EVT-0000167,RIDER_ARRIVED_AT_STORE,2026-08-15 07:43:00,ORD-000018,FU-000018,DEL-000014,STR-003,RID-000017,
EVT-0000733,ORDER_CREATED,2026-08-15 07:44:25,ORD-000074,,,,,
EVT-0000734,PAYMENT_SUCCESS,2026-08-15 07:45:02,ORD-000074,,,,,
EVT-0000735,STORE_ASSIGNED,2026-08-15 07:46:50,ORD-000074,FU-000071,,STR-016,,
EVT-0000163,PICKING_COMPLETED,2026-08-15 07:47:21,ORD-000018,FU-000018,,STR-003,,
EVT-0000736,PICKING_STARTED,2026-08-15 07:47:54,ORD-000074,FU-000071,,STR-016,,
EVT-0000164,PACKING_STARTED,2026-08-15 07:47:55,ORD-000018,FU-000018,,STR-003,,
EVT-0000165,PACKING_COMPLETED,2026-08-15 07:51:05,ORD-000018,FU-000018,,STR-003,,
EVT-0000168,PICKED_UP,2026-08-15 07:51:57,ORD-000018,FU-000018,DEL-000014,STR-003,RID-000017,
EVT-0000740,RIDER_ASSIGNED,2026-08-15 07:52:00,ORD-000074,FU-000071,DEL-000065,STR-016,RID-000011,
EVT-0000169,DELIVERY_STARTED,2026-08-15 07:53:14,ORD-000018,FU-000018,DEL-000014,STR-003,RID-000017,
EVT-0000741,RIDER_ARRIVED_AT_STORE,2026-08-15 07:54:00,ORD-000074,FU-000071,DEL-000065,STR-016,RID-000011,
EVT-0000737,PICKING_COMPLETED,2026-08-15 07:54:39,ORD-000074,FU-000071,,STR-016,,
EVT-0000738,PACKING_STARTED,2026-08-15 07:55:18,ORD-000074,FU-000071,,STR-016,,
EVT-0000739,PACKING_COMPLETED,2026-08-15 07:58:30,ORD-000074,FU-000071,,STR-016,,
EVT-0000742,PICKED_UP,2026-08-15 07:59:16,ORD-000074,FU-000071,DEL-000065,STR-016,RID-000011,
EVT-0000902,ORDER_CREATED,2026-08-15 07:59:25,ORD-000089,,,,,
EVT-0000903,PAYMENT_SUCCESS,2026-08-15 07:59:31,ORD-000089,,,,,
EVT-0000743,DELIVERY_STARTED,2026-08-15 07:59:37,ORD-000074,FU-000071,DEL-000065,STR-016,RID-000011,
EVT-0000904,STORE_ASSIGNED,2026-08-15 08:00:43,ORD-000089,FU-000087,,STR-017,,
EVT-0000909,RIDER_ASSIGNED,2026-08-15 08:02:00,ORD-000089,FU-000087,DEL-000079,STR-017,RID-000050,
EVT-0000905,PICKING_STARTED,2026-08-15 08:03:24,ORD-000089,FU-000087,,STR-017,,
EVT-0000910,RIDER_ARRIVED_AT_STORE,2026-08-15 08:05:00,ORD-000089,FU-000087,DEL-000079,STR-017,RID-000050,
EVT-0000744,DELIVERED,2026-08-15 08:06:08,ORD-000074,FU-000071,DEL-000065,STR-016,RID-000011,
EVT-0000170,DELIVERED,2026-08-15 08:08:16,ORD-000018,FU-000018,DEL-000014,STR-003,RID-000017,
EVT-0000906,PICKING_COMPLETED,2026-08-15 08:09:04,ORD-000089,FU-000087,,STR-017,,
EVT-0000907,PACKING_STARTED,2026-08-15 08:09:42,ORD-000089,FU-000087,,STR-017,,
EVT-0000908,PACKING_COMPLETED,2026-08-15 08:12:00,ORD-000089,FU-000087,,STR-017,,
EVT-0000911,PICKED_UP,2026-08-15 08:12:35,ORD-000089,FU-000087,DEL-000079,STR-017,RID-000050,
EVT-0000912,DELIVERY_STARTED,2026-08-15 08:13:35,ORD-000089,FU-000087,DEL-000079,STR-017,RID-000050,
EVT-0000913,DELIVERED,2026-08-15 08:20:13,ORD-000089,FU-000087,DEL-000079,STR-017,RID-000050,
EVT-0000721,ORDER_CREATED,2026-08-15 08:23:42,ORD-000073,,,,,
EVT-0000722,PAYMENT_SUCCESS,2026-08-15 08:24:18,ORD-000073,,,,,
EVT-0000723,STORE_ASSIGNED,2026-08-15 08:25:41,ORD-000073,FU-000070,,STR-004,,
EVT-0000078,ORDER_CREATED,2026-08-15 08:25:42,ORD-000010,,,,,
EVT-0000079,PAYMENT_SUCCESS,2026-08-15 08:26:21,ORD-000010,,,,,
EVT-0000728,RIDER_ASSIGNED,2026-08-15 08:28:00,ORD-000073,FU-000070,DEL-000064,STR-004,RID-000038,
EVT-0000724,PICKING_STARTED,2026-08-15 08:28:08,ORD-000073,FU-000070,,STR-004,,
EVT-0000080,STORE_ASSIGNED,2026-08-15 08:28:10,ORD-000010,FU-000010,,STR-016,,
EVT-0000081,PICKING_STARTED,2026-08-15 08:30:06,ORD-000010,FU-000010,,STR-016,,
EVT-0000725,PICKING_COMPLETED,2026-08-15 08:31:39,ORD-000073,FU-000070,,STR-004,,
EVT-0000726,PACKING_STARTED,2026-08-15 08:31:56,ORD-000073,FU-000070,,STR-004,,
EVT-0000729,RIDER_ARRIVED_AT_STORE,2026-08-15 08:32:00,ORD-000073,FU-000070,DEL-000064,STR-004,RID-000038,
EVT-0000085,RIDER_ASSIGNED,2026-08-15 08:33:00,ORD-000010,FU-000010,DEL-000007,STR-016,RID-000040,
EVT-0000086,RIDER_ARRIVED_AT_STORE,2026-08-15 08:34:00,ORD-000010,FU-000010,DEL-000007,STR-016,RID-000040,
EVT-0000727,PACKING_COMPLETED,2026-08-15 08:34:01,ORD-000073,FU-000070,,STR-004,,
EVT-0000730,PICKED_UP,2026-08-15 08:34:22,ORD-000073,FU-000070,DEL-000064,STR-004,RID-000038,
EVT-0000731,DELIVERY_STARTED,2026-08-15 08:35:32,ORD-000073,FU-000070,DEL-000064,STR-004,RID-000038,
EVT-0000082,PICKING_COMPLETED,2026-08-15 08:37:45,ORD-000010,FU-000010,,STR-016,,
EVT-0000083,PACKING_STARTED,2026-08-15 08:38:28,ORD-000010,FU-000010,,STR-016,,
EVT-0000890,ORDER_CREATED,2026-08-15 08:38:48,ORD-000088,,,,,
EVT-0000891,PAYMENT_SUCCESS,2026-08-15 08:39:10,ORD-000088,,,,,
EVT-0000892,STORE_ASSIGNED,2026-08-15 08:41:06,ORD-000088,FU-000086,,STR-011,,
EVT-0000084,PACKING_COMPLETED,2026-08-15 08:41:36,ORD-000010,FU-000010,,STR-016,,
EVT-0000732,DELIVERED,2026-08-15 08:42:14,ORD-000073,FU-000070,DEL-000064,STR-004,RID-000038,
EVT-0000087,PICKED_UP,2026-08-15 08:42:24,ORD-000010,FU-000010,DEL-000007,STR-016,RID-000040,
EVT-0000088,DELIVERY_STARTED,2026-08-15 08:43:00,ORD-000010,FU-000010,DEL-000007,STR-016,RID-000040,
EVT-0000962,ORDER_CREATED,2026-08-15 08:43:24,ORD-000094,,,,,
EVT-0000963,PAYMENT_SUCCESS,2026-08-15 08:43:31,ORD-000094,,,,,
EVT-0000893,PICKING_STARTED,2026-08-15 08:43:32,ORD-000088,FU-000086,,STR-011,,
EVT-0000964,STORE_ASSIGNED,2026-08-15 08:44:56,ORD-000094,FU-000092,,STR-016,,
EVT-0000897,RIDER_ASSIGNED,2026-08-15 08:45:00,ORD-000088,FU-000086,DEL-000078,STR-011,RID-000022,
EVT-0000898,RIDER_ARRIVED_AT_STORE,2026-08-15 08:46:00,ORD-000088,FU-000086,DEL-000078,STR-011,RID-000022,
EVT-0000969,RIDER_ASSIGNED,2026-08-15 08:47:00,ORD-000094,FU-000092,DEL-000084,STR-016,RID-000014,
EVT-0000894,PICKING_COMPLETED,2026-08-15 08:47:07,ORD-000088,FU-000086,,STR-011,,
EVT-0000563,ORDER_CREATED,2026-08-15 08:47:08,ORD-000059,,,,,
EVT-0000965,PICKING_STARTED,2026-08-15 08:47:28,ORD-000094,FU-000092,,STR-016,,
EVT-0000564,PAYMENT_SUCCESS,2026-08-15 08:47:38,ORD-000059,,,,,
EVT-0000895,PACKING_STARTED,2026-08-15 08:47:39,ORD-000088,FU-000086,,STR-011,,
EVT-0000565,STORE_ASSIGNED,2026-08-15 08:48:32,ORD-000059,FU-000056,,STR-012,,
EVT-0000089,DELIVERED,2026-08-15 08:49:37,ORD-000010,FU-000010,DEL-000007,STR-016,RID-000040,
EVT-0000566,PICKING_STARTED,2026-08-15 08:50:15,ORD-000059,FU-000056,,STR-012,,
EVT-0000896,PACKING_COMPLETED,2026-08-15 08:50:52,ORD-000088,FU-000086,,STR-011,,
EVT-0000899,PICKED_UP,2026-08-15 08:51:37,ORD-000088,FU-000086,DEL-000078,STR-011,RID-000022,
EVT-0000970,RIDER_ARRIVED_AT_STORE,2026-08-15 08:52:00,ORD-000094,FU-000092,DEL-000084,STR-016,RID-000014,
EVT-0000900,DELIVERY_STARTED,2026-08-15 08:52:04,ORD-000088,FU-000086,DEL-000078,STR-011,RID-000022,
EVT-0000567,PICKING_COMPLETED,2026-08-15 08:52:15,ORD-000059,FU-000056,,STR-012,,
EVT-0000966,PICKING_COMPLETED,2026-08-15 08:52:45,ORD-000094,FU-000092,,STR-016,,
EVT-0000568,PACKING_STARTED,2026-08-15 08:52:57,ORD-000059,FU-000056,,STR-012,,
EVT-0000570,RIDER_ASSIGNED,2026-08-15 08:53:00,ORD-000059,FU-000056,DEL-000051,STR-012,RID-000034,
EVT-0000967,PACKING_STARTED,2026-08-15 08:53:06,ORD-000094,FU-000092,,STR-016,,
EVT-0000968,PACKING_COMPLETED,2026-08-15 08:54:20,ORD-000094,FU-000092,,STR-016,,
EVT-0000971,PICKED_UP,2026-08-15 08:55:08,ORD-000094,FU-000092,DEL-000084,STR-016,RID-000014,
EVT-0000571,RIDER_ARRIVED_AT_STORE,2026-08-15 08:56:00,ORD-000059,FU-000056,DEL-000051,STR-012,RID-000034,
EVT-0000569,PACKING_COMPLETED,2026-08-15 08:56:19,ORD-000059,FU-000056,,STR-012,,
EVT-0000972,DELIVERY_STARTED,2026-08-15 08:56:23,ORD-000094,FU-000092,DEL-000084,STR-016,RID-000014,
EVT-0000572,PICKED_UP,2026-08-15 08:56:36,ORD-000059,FU-000056,DEL-000051,STR-012,RID-000034,
EVT-0000573,DELIVERY_STARTED,2026-08-15 08:57:33,ORD-000059,FU-000056,DEL-000051,STR-012,RID-000034,
EVT-0000901,DELIVERED,2026-08-15 08:59:45,ORD-000088,FU-000086,DEL-000078,STR-011,RID-000022,
EVT-0000029,ORDER_CREATED,2026-08-15 09:02:18,ORD-000005,,,,,
EVT-0000030,PAYMENT_SUCCESS,2026-08-15 09:02:43,ORD-000005,,,,,
EVT-0000031,STORE_ASSIGNED,2026-08-15 09:03:59,ORD-000005,FU-000004,,STR-012,,
EVT-0000032,PICKING_STARTED,2026-08-15 09:05:06,ORD-000005,FU-000004,,STR-012,,
EVT-0000973,DELIVERED,2026-08-15 09:05:15,ORD-000094,FU-000092,DEL-000084,STR-016,RID-000014,
EVT-0000914,ORDER_CREATED,2026-08-15 09:05:41,ORD-000090,,,,,
EVT-0000915,PAYMENT_SUCCESS,2026-08-15 09:05:49,ORD-000090,,,,,
EVT-0000574,DELIVERED,2026-08-15 09:06:11,ORD-000059,FU-000056,DEL-000051,STR-012,RID-000034,
EVT-0000036,RIDER_ASSIGNED,2026-08-15 09:07:00,ORD-000005,FU-000004,DEL-000003,STR-012,RID-000035,
EVT-0000916,STORE_ASSIGNED,2026-08-15 09:07:13,ORD-000090,FU-000088,,STR-016,,
EVT-0000037,RIDER_ARRIVED_AT_STORE,2026-08-15 09:08:00,ORD-000005,FU-000004,DEL-000003,STR-012,RID-000035,
EVT-0000033,PICKING_COMPLETED,2026-08-15 09:08:40,ORD-000005,FU-000004,,STR-012,,
EVT-0000034,PACKING_STARTED,2026-08-15 09:09:08,ORD-000005,FU-000004,,STR-012,,
EVT-0001000,ORDER_CREATED,2026-08-15 09:09:20,ORD-000098,,,,,
EVT-0001001,PAYMENT_SUCCESS,2026-08-15 09:09:42,ORD-000098,,,,,
EVT-0000921,RIDER_ASSIGNED,2026-08-15 09:10:00,ORD-000090,FU-000088,DEL-000080,STR-016,RID-000013,
EVT-0000917,PICKING_STARTED,2026-08-15 09:10:05,ORD-000090,FU-000088,,STR-016,,
EVT-0001002,STORE_ASSIGNED,2026-08-15 09:11:29,ORD-000098,FU-000096,,STR-004,,
EVT-0000430,ORDER_CREATED,2026-08-15 09:11:47,ORD-000045,,,,,
EVT-0000431,PAYMENT_SUCCESS,2026-08-15 09:12:21,ORD-000045,,,,,
EVT-0000035,PACKING_COMPLETED,2026-08-15 09:12:24,ORD-000005,FU-000004,,STR-012,,
EVT-0001003,PICKING_STARTED,2026-08-15 09:12:35,ORD-000098,FU-000096,,STR-004,,
EVT-0000038,PICKED_UP,2026-08-15 09:12:59,ORD-000005,FU-000004,DEL-000003,STR-012,RID-000035,
EVT-0000922,RIDER_ARRIVED_AT_STORE,2026-08-15 09:13:00,ORD-000090,FU-000088,DEL-000080,STR-016,RID-000013,
EVT-0000039,DELIVERY_STARTED,2026-08-15 09:14:07,ORD-000005,FU-000004,DEL-000003,STR-012,RID-000035,
EVT-0000432,STORE_ASSIGNED,2026-08-15 09:14:14,ORD-000045,FU-000043,,STR-013,,
EVT-0000996,ORDER_CREATED,2026-08-15 09:15:05,ORD-000096,,,,,
EVT-0000997,PAYMENT_SUCCESS,2026-08-15 09:15:12,ORD-000096,,,,,
EVT-0000918,PICKING_COMPLETED,2026-08-15 09:15:56,ORD-000090,FU-000088,,STR-016,,
EVT-0001007,RIDER_ASSIGNED,2026-08-15 09:16:00,ORD-000098,FU-000096,DEL-000087,STR-004,RID-000011,
EVT-0000998,STORE_ASSIGNED,2026-08-15 09:16:16,ORD-000096,FU-000095,,STR-016,,
EVT-0000919,PACKING_STARTED,2026-08-15 09:16:27,ORD-000090,FU-000088,,STR-016,,
EVT-0001004,PICKING_COMPLETED,2026-08-15 09:16:33,ORD-000098,FU-000096,,STR-004,,
EVT-0000433,PICKING_STARTED,2026-08-15 09:16:40,ORD-000045,FU-000043,,STR-013,,
EVT-0001005,PACKING_STARTED,2026-08-15 09:16:49,ORD-000098,FU-000096,,STR-004,,
EVT-0001008,RIDER_ARRIVED_AT_STORE,2026-08-15 09:17:00,ORD-000098,FU-000096,DEL-000087,STR-004,RID-000011,
EVT-0000040,DELIVERED,2026-08-15 09:18:29,ORD-000005,FU-000004,DEL-000003,STR-012,RID-000035,
EVT-0000920,PACKING_COMPLETED,2026-08-15 09:18:53,ORD-000090,FU-000088,,STR-016,,
