order_item_id,order_id,fulfilment_unit_id,product_id,quantity
OI-0000001,ORD-000001,FU-000001,PROD-002,1
OI-0000002,ORD-000001,FU-000001,PROD-005,3
OI-0000003,ORD-000001,FU-000001,PROD-004,2
OI-0000004,ORD-000004,FU-000003,PROD-002,2
OI-0000005,ORD-000004,FU-000003,PROD-005,2
OI-0000006,ORD-000005,FU-000004,PROD-004,1
OI-0000007,ORD-000005,FU-000004,PROD-006,1
OI-0000008,ORD-000005,FU-000004,PROD-005,1
OI-0000009,ORD-000006,FU-000005,PROD-008,1
OI-0000010,ORD-000007,FU-000006,PROD-003,1
OI-0000011,ORD-000007,FU-000006,PROD-001,1
OI-0000012,ORD-000007,FU-000006,PROD-008,2
OI-0000013,ORD-000007,FU-000006,PROD-010,1
OI-0000014,ORD-000007,FU-000006,PROD-009,2
OI-0000015,ORD-000007,FU-000006,PROD-004,1
OI-0000016,ORD-000007,FU-000006,PROD-005,1
OI-0000017,ORD-000008,FU-000008,PROD-009,3
OI-0000018,ORD-000008,FU-000008,PROD-006,1
OI-0000019,ORD-000010,FU-000010,PROD-007,1
OI-0000020,ORD-000010,FU-000010,PROD-001,1
OI-0000021,ORD-000010,FU-000010,PROD-008,1
OI-0000022,ORD-000010,FU-000010,PROD-003,1
OI-0000023,ORD-000010,FU-000010,PROD-009,1
OI-0000024,ORD-000010,FU-000010,PROD-005,1
OI-0000025,ORD-000010,FU-000010,PROD-010,3
OI-0000026,ORD-000010,FU-000010,PROD-002,1
OI-0000027,ORD-000010,FU-000010,PROD-006,1
OI-0000028,ORD-000010,FU-000010,PROD-004,1
OI-0000029,ORD-000011,FU-000011,PROD-003,2
OI-0000030,ORD-000011,FU-000011,PROD-002,1
OI-0000031,ORD-000011,FU-000011,PROD-007,4
OI-0000032,ORD-000011,FU-000011,PROD-008,2
OI-0000033,ORD-000011,FU-000011,PROD-010,4
OI-0000034,ORD-000011,FU-000011,PROD-001,1
OI-0000035,ORD-000011,FU-000011,PROD-005,1
OI-0000036,ORD-000011,FU-000011,PROD-004,1
OI-0000037,ORD-000011,FU-000011,PROD-009,1
OI-0000038,ORD-000011,FU-000011,PROD-006,1
OI-0000039,ORD-000012,FU-000012,PROD-010,2
OI-0000040,ORD-000012,FU-000012,PROD-007,3
OI-0000041,ORD-000012,FU-000012,PROD-004,1
OI-0000042,ORD-000012,FU-000012,PROD-008,1
OI-0000043,ORD-000012,FU-000012,PROD-006,2
OI-0000044,ORD-000012,FU-000012,PROD-002,2
OI-0000045,ORD-000012,FU-000012,PROD-003,2
OI-0000046,ORD-000013,FU-000013,PROD-009,1
OI-0000047,ORD-000013,FU-000013,PROD-004,2
OI-0000048,ORD-000013,FU-000013,PROD-007,1
OI-0000049,ORD-000013,FU-000013,PROD-001,3
OI-0000050,ORD-000013,FU-000013,PROD-002,2
OI-0000051,ORD-000013,FU-000013,PROD-006,2
OI-0000052,ORD-000013,FU-000013,PROD-008,2
OI-0000053,ORD-000013,FU-000013,PROD-005,2
OI-0000054,ORD-000013,FU-000013,PROD-003,2
OI-0000055,ORD-000013,FU-000013,PROD-010,2
OI-0000056,ORD-000015,FU-000014,PROD-003,1
OI-0000057,ORD-000015,FU-000015,PROD-004,2
OI-0000058,ORD-000015,FU-000014,PROD-002,1
OI-0000059,ORD-000017,FU-000017,PROD-001,1
OI-0000060,ORD-000018,FU-000018,PROD-005,2
OI-0000061,ORD-000018,FU-000018,PROD-009,1
OI-0000062,ORD-000018,FU-000018,PROD-010,1
OI-0000063,ORD-000018,FU-000018,PROD-007,1
OI-0000064,ORD-000018,FU-000018,PROD-004,1
OI-0000065,ORD-000018,FU-000018,PROD-006,1
OI-0000066,ORD-000018,FU-000018,PROD-002,1
OI-0000067,ORD-000018,FU-000018,PROD-001,1
OI-0000068,ORD-000019,FU-000019,PROD-005,1
OI-0000069,ORD-000019,FU-000019,PROD-006,1
OI-0000070,ORD-000019,FU-000019,PROD-009,4
OI-0000071,ORD-000019,FU-000019,PROD-010,3
OI-0000072,ORD-000019,FU-000019,PROD-004,1
OI-0000073,ORD-000019,FU-000019,PROD-001,1
OI-0000074,ORD-000019,FU-000019,PROD-003,2
OI-0000075,ORD-000019,FU-000019,PROD-007,1
OI-0000076,ORD-000019,FU-000019,PROD-008,1
OI-0000077,ORD-000020,FU-000020,PROD-004,1
OI-0000078,ORD-000020,FU-000020,PROD-001,2
OI-0000079,ORD-000020,FU-000020,PROD-002,1
OI-0000080,ORD-000020,FU-000020,PROD-010,2
OI-0000081,ORD-000020,FU-000020,PROD-008,2
OI-0000082,ORD-000020,FU-000020,PROD-006,2
OI-0000083,ORD-000020,FU-000020,PROD-009,1
OI-0000084,ORD-000020,FU-000020,PROD-003,2
OI-0000085,ORD-000021,FU-000021,PROD-005,2
OI-0000086,ORD-000021,FU-000021,PROD-003,1
OI-0000087,ORD-000021,FU-000021,PROD-010,1
OI-0000088,ORD-000022,FU-000022,PROD-008,4
OI-0000089,ORD-000022,FU-000022,PROD-002,1
OI-0000090,ORD-000022,FU-000022,PROD-010,1
OI-0000091,ORD-000022,FU-000022,PROD-006,1
OI-0000092,ORD-000023,FU-000023,PROD-004,1
OI-0000093,ORD-000023,FU-000023,PROD-001,2
OI-0000094,ORD-000024,FU-000024,PROD-002,2
OI-0000095,ORD-000024,FU-000024,PROD-003,1
OI-0000096,ORD-000024,FU-000024,PROD-006,3
OI-0000097,ORD-000024,FU-000024,PROD-010,3
OI-0000098,ORD-000024,FU-000024,PROD-007,1
OI-0000099,ORD-000024,FU-000024,PROD-008,2
OI-0000100,ORD-000024,FU-000024,PROD-009,1
OI-0000101,ORD-000024,FU-000024,PROD-004,1
OI-0000102,ORD-000025,FU-000025,PROD-008,2
OI-0000103,ORD-000025,FU-000025,PROD-006,1
OI-0000104,ORD-000026,FU-000026,PROD-001,2
OI-0000105,ORD-000027,FU-000027,PROD-005,1
OI-0000106,ORD-000027,FU-000027,PROD-004,2
OI-0000107,ORD-000028,FU-000029,PROD-002,1
OI-0000108,ORD-000028,FU-000029,PROD-001,1
OI-0000109,ORD-000028,FU-000029,PROD-004,1
OI-0000110,ORD-000028,FU-000029,PROD-003,2
OI-0000111,ORD-000028,FU-000029,PROD-005,2
OI-0000112,ORD-000028,FU-000029,PROD-006,2
OI-0000113,ORD-000029,FU-000030,PROD-008,1
OI-0000114,ORD-000029,FU-000030,PROD-009,1
OI-0000115,ORD-000029,FU-000030,PROD-004,4
OI-0000116,ORD-000029,FU-000030,PROD-002,2
OI-0000117,ORD-000029,FU-000030,PROD-003,3
OI-0000118,ORD-000029,FU-000030,PROD-001,3
OI-0000119,ORD-000030,FU-000031,PROD-005,1
OI-0000120,ORD-000030,FU-000031,PROD-007,1
OI-0000121,ORD-000030,FU-000031,PROD-006,2
OI-0000122,ORD-000030,FU-000031,PROD-004,3
OI-0000123,ORD-000030,FU-000031,PROD-003,2
OI-0000124,ORD-000030,FU-000031,PROD-009,1
OI-0000125,ORD-000030,FU-000031,PROD-001,1
OI-0000126,ORD-000032,FU-000032,PROD-006,1
OI-0000127,ORD-000032,FU-000033,PROD-009,1
OI-0000128,ORD-000033,FU-000034,PROD-010,3
OI-0000129,ORD-000033,FU-000034,PROD-002,2
OI-0000130,ORD-000033,FU-000034,PROD-003,1
OI-0000131,ORD-000033,FU-000034,PROD-005,3
OI-0000132,ORD-000033,FU-000034,PROD-006,2
OI-0000133,ORD-000033,FU-000034,PROD-001,2
OI-0000134,ORD-000033,FU-000034,PROD-009,4
OI-0000135,ORD-000033,FU-000034,PROD-008,1
OI-0000136,ORD-000033,FU-000034,PROD-004,2
OI-0000137,ORD-000034,FU-000035,PROD-005,1
OI-0000138,ORD-000034,FU-000035,PROD-009,1
OI-0000139,ORD-000035,FU-000036,PROD-009,1
OI-0000140,ORD-000035,FU-000036,PROD-005,3
OI-0000141,ORD-000035,FU-000036,PROD-003,3
OI-0000142,ORD-000035,FU-000036,PROD-007,1
OI-0000143,ORD-000035,FU-000036,PROD-006,1
OI-0000144,ORD-000035,FU-000036,PROD-010,2
OI-0000145,ORD-000035,FU-000036,PROD-001,3
OI-0000146,ORD-000035,FU-000036,PROD-008,1
OI-0000147,ORD-000035,FU-000036,PROD-004,4
OI-0000148,ORD-000036,FU-000037,PROD-009,2
OI-0000149,ORD-000036,FU-000037,PROD-001,2
OI-0000150,ORD-000036,FU-000037,PROD-005,2
OI-0000151,ORD-000036,FU-000037,PROD-006,4
OI-0000152,ORD-000036,FU-000037,PROD-004,1
OI-0000153,ORD-000037,FU-000038,PROD-001,1
OI-0000154,ORD-000037,FU-000038,PROD-010,1
OI-0000155,ORD-000037,FU-000038,PROD-007,2
OI-0000156,ORD-000037,FU-000038,PROD-005,1
OI-0000157,ORD-000037,FU-000038,PROD-008,2
OI-0000158,ORD-000037,FU-000038,PROD-006,2
OI-0000159,ORD-000039,FU-000039,PROD-005,2
OI-0000160,ORD-000039,FU-000039,PROD-006,2
OI-0000161,ORD-000039,FU-000039,PROD-001,2
OI-0000162,ORD-000040,FU-000040,PROD-009,1
OI-0000163,ORD-000040,FU-000040,PROD-006,2
OI-0000164,ORD-000040,FU-000040,PROD-010,1
OI-0000165,ORD-000040,FU-000040,PROD-001,4
OI-0000166,ORD-000040,FU-000040,PROD-005,1
OI-0000167,ORD-000040,FU-000040,PROD-008,1
OI-0000168,ORD-000040,FU-000040,PROD-002,1
OI-0000169,ORD-000040,FU-000040,PROD-004,1
OI-0000170,ORD-000040,FU-000040,PROD-003,1
OI-0000171,ORD-000041,FU-000041,PROD-004,2
OI-0000172,ORD-000041,FU-000041,PROD-009,1
OI-0000173,ORD-000041,FU-000041,PROD-006,2
OI-0000174,ORD-000041,FU-000041,PROD-002,1
OI-0000175,ORD-000041,FU-000041,PROD-005,1
OI-0000176,ORD-000041,FU-000041,PROD-001,2
OI-0000177,ORD-000041,FU-000041,PROD-003,3
OI-0000178,ORD-000041,FU-000041,PROD-008,1
OI-0000179,ORD-000043,FU-000042,PROD-003,4
OI-0000180,ORD-000043,FU-000042,PROD-005,2
OI-0000181,ORD-000043,FU-000042,PROD-001,2
OI-0000182,ORD-000043,FU-000042,PROD-008,4
OI-0000183,ORD-000045,FU-000043,PROD-003,1
OI-0000184,ORD-000045,FU-000043,PROD-004,1
OI-0000185,ORD-000045,FU-000043,PROD-010,1
OI-0000186,ORD-000045,FU-000043,PROD-005,2
OI-0000187,ORD-000045,FU-000043,PROD-007,1
OI-0000188,ORD-000045,FU-000043,PROD-009,4
OI-0000189,ORD-000045,FU-000043,PROD-002,1
OI-0000190,ORD-000046,FU-000044,PROD-006,1
OI-0000191,ORD-000046,FU-000044,PROD-002,2
OI-0000192,ORD-000046,FU-000044,PROD-004,2
OI-0000193,ORD-000046,FU-000044,PROD-010,1
OI-0000194,ORD-000046,FU-000044,PROD-003,1
OI-0000195,ORD-000046,FU-000044,PROD-009,2
OI-0000196,ORD-000046,FU-000044,PROD-007,2
OI-0000197,ORD-000047,FU-000045,PROD-001,1
OI-0000198,ORD-000047,FU-000045,PROD-007,2
OI-0000199,ORD-000047,FU-000045,PROD-010,1
OI-0000200,ORD-000048,FU-000046,PROD-004,3
OI-0000201,ORD-000050,FU-000047,PROD-009,2
OI-0000202,ORD-000050,FU-000047,PROD-010,1
OI-0000203,ORD-000050,FU-000047,PROD-003,2
OI-0000204,ORD-000050,FU-000047,PROD-007,4
OI-0000205,ORD-000050,FU-000047,PROD-001,1
OI-0000206,ORD-000051,FU-000048,PROD-001,1
OI-0000207,ORD-000051,FU-000048,PROD-005,2
OI-0000208,ORD-000051,FU-000048,PROD-006,1
OI-0000209,ORD-000051,FU-000048,PROD-008,1
OI-0000210,ORD-000051,FU-000048,PROD-009,2
OI-0000211,ORD-000051,FU-000048,PROD-010,1
OI-0000212,ORD-000051,FU-000048,PROD-002,1
OI-0000213,ORD-000052,FU-000049,PROD-006,1
OI-0000214,ORD-000052,FU-000049,PROD-005,1
OI-0000215,ORD-000052,FU-000049,PROD-003,2
OI-0000216,ORD-000052,FU-000049,PROD-004,2
OI-0000217,ORD-000052,FU-000049,PROD-002,1
OI-0000218,ORD-000052,FU-000049,PROD-010,1
OI-0000219,ORD-000052,FU-000049,PROD-001,1
OI-0000220,ORD-000052,FU-000049,PROD-007,2
OI-0000221,ORD-000053,FU-000050,PROD-007,1
OI-0000222,ORD-000055,FU-000052,PROD-006,1
OI-0000223,ORD-000055,FU-000052,PROD-007,1
OI-0000224,ORD-000055,FU-000052,PROD-004,1
OI-0000225,ORD-000055,FU-000052,PROD-005,2
OI-0000226,ORD-000055,FU-000052,PROD-003,1
OI-0000227,ORD-000055,FU-000052,PROD-002,2
OI-0000228,ORD-000055,FU-000052,PROD-001,1
OI-0000229,ORD-000056,FU-000053,PROD-002,2
OI-0000230,ORD-000056,FU-000053,PROD-006,4
OI-0000231,ORD-000056,FU-000053,PROD-001,2
OI-0000232,ORD-000056,FU-000053,PROD-005,1
OI-0000233,ORD-000056,FU-000053,PROD-003,3
OI-0000234,ORD-000056,FU-000053,PROD-004,3
OI-0000235,ORD-000057,FU-000054,PROD-001,1
OI-0000236,ORD-000057,FU-000054,PROD-007,2
OI-0000237,ORD-000057,FU-000054,PROD-010,1
OI-0000238,ORD-000057,FU-000054,PROD-006,1
OI-0000239,ORD-000057,FU-000054,PROD-008,1
OI-0000240,ORD-000057,FU-000054,PROD-003,1
OI-0000241,ORD-000057,FU-000054,PROD-005,2
OI-0000242,ORD-000058,FU-000055,PROD-001,1
OI-0000243,ORD-000058,FU-000055,PROD-003,2
OI-0000244,ORD-000058,FU-000055,PROD-006,1
OI-0000245,ORD-000058,FU-000055,PROD-008,1
OI-0000246,ORD-000058,FU-000055,PROD-009,1
OI-0000247,ORD-000058,FU-000055,PROD-007,4
OI-0000248,ORD-000058,FU-000055,PROD-004,1
OI-0000249,ORD-000058,FU-000055,PROD-005,1
OI-0000250,ORD-000058,FU-000055,PROD-010,3
OI-0000251,ORD-000058,FU-000055,PROD-002,2
OI-0000252,ORD-000059,FU-000056,PROD-009,1
OI-0000253,ORD-000059,FU-000056,PROD-006,1
OI-0000254,ORD-000060,FU-000057,PROD-005,1
OI-0000255,ORD-000060,FU-000057,PROD-003,1
OI-0000256,ORD-000060,FU-000057,PROD-009,1
OI-0000257,ORD-000060,FU-000057,PROD-004,1
OI-0000258,ORD-000061,FU-000058,PROD-004,2
OI-0000259,ORD-000061,FU-000058,PROD-005,2
OI-0000260,ORD-000061,FU-000058,PROD-001,2
OI-0000261,ORD-000061,FU-000058,PROD-007,2
OI-0000262,ORD-000061,FU-000058,PROD-010,1
OI-0000263,ORD-000061,FU-000058,PROD-002,3
OI-0000264,ORD-000061,FU-000058,PROD-009,1
OI-0000265,ORD-000061,FU-000058,PROD-006,1
OI-0000266,ORD-000062,FU-000059,PROD-005,1
OI-0000267,ORD-000062,FU-000059,PROD-006,1
OI-0000268,ORD-000062,FU-000059,PROD-010,1
OI-0000269,ORD-000062,FU-000059,PROD-004,1
OI-0000270,ORD-000062,FU-000059,PROD-008,2
OI-0000271,ORD-000062,FU-000059,PROD-002,1
OI-0000272,ORD-000065,FU-000061,PROD-003,1
OI-0000273,ORD-000065,FU-000061,PROD-010,1
OI-0000274,ORD-000065,FU-000061,PROD-004,1
OI-0000275,ORD-000065,FU-000061,PROD-009,3
OI-0000276,ORD-000065,FU-000061,PROD-005,1
OI-0000277,ORD-000065,FU-000061,PROD-008,1
OI-0000278,ORD-000065,FU-000061,PROD-007,1
OI-0000279,ORD-000066,FU-000062,PROD-010,4
OI-0000280,ORD-000066,FU-000062,PROD-009,1
OI-0000281,ORD-000066,FU-000062,PROD-001,1
OI-0000282,ORD-000066,FU-000062,PROD-008,2
OI-0000283,ORD-000066,FU-000062,PROD-003,1
OI-0000284,ORD-000066,FU-000062,PROD-006,1
OI-0000285,ORD-000066,FU-000062,PROD-004,1
OI-0000286,ORD-000066,FU-000062,PROD-002,1
OI-0000287,ORD-000066,FU-000062,PROD-005,1
OI-0000288,ORD-000066,FU-000062,PROD-007,4
OI-0000289,ORD-000067,FU-000063,PROD-001,1
OI-0000290,ORD-000067,FU-000063,PROD-010,2
OI-0000291,ORD-000067,FU-000063,PROD-005,3
OI-0000292,ORD-000067,FU-000063,PROD-004,2
OI-0000293,ORD-000068,FU-000064,PROD-002,1
OI-0000294,ORD-000068,FU-000064,PROD-003,3
OI-0000295,ORD-000069,FU-000065,PROD-004,1
OI-0000296,ORD-000069,FU-000065,PROD-001,2
OI-0000297,ORD-000069,FU-000065,PROD-002,1
OI-0000298,ORD-000069,FU-000065,PROD-009,1
OI-0000299,ORD-000069,FU-000065,PROD-003,1
OI-0000300,ORD-000069,FU-000065,PROD-006,2
OI-0000301,ORD-000069,FU-000065,PROD-010,3
OI-0000302,ORD-000070,FU-000066,PROD-007,1
OI-0000303,ORD-000070,FU-000066,PROD-010,2
OI-0000304,ORD-000070,FU-000067,PROD-006,1
OI-0000305,ORD-000070,FU-000067,PROD-003,2
OI-0000306,ORD-000070,FU-000066,PROD-001,1
OI-0000307,ORD-000071,FU-000068,PROD-003,2
OI-0000308,ORD-000071,FU-000068,PROD-007,1
OI-0000309,ORD-000071,FU-000068,PROD-008,2
