order_id,customer_id,created_at,payment_success_at,delivery_latitude,delivery_longitude,delivery_zone,status,cancelled_at,cancellation_reason,failure_reason
ORD-000001,CUS-000066,2026-08-15 13:28:07,2026-08-15 13:28:48,12.97126,77.616798,BLR-CEN,CREATED,,,
ORD-000002,CUS-000046,2026-08-15 07:18:19,2026-08-15 07:18:43,12.954615,77.602155,BLR-CEN,CREATED,,,
ORD-000003,CUS-000006,2026-08-15 09:55:11,2026-08-15 09:55:19,13.079715,77.610759,BLR-NTH,CREATED,,,
ORD-000004,CUS-000064,2026-08-15 11:22:31,2026-08-15 11:22:39,12.948295,77.649274,BLR-EST,CREATED,,,
ORD-000005,CUS-000058,2026-08-15 23:06:33,2026-08-15 23:07:08,12.969243,77.687195,BLR-EST,CREATED,,,
ORD-000006,CUS-000027,2026-08-15 07:28:52,2026-08-15 07:29:36,12.993483,77.613778,BLR-CEN,CREATED,,,
ORD-000007,CUS-000053,2026-08-15 18:57:58,2026-08-15 18:58:08,12.902568,77.59701,BLR-STH,CREATED,,,
ORD-000008,CUS-000069,2026-08-15 11:30:06,2026-08-15 11:30:38,12.973697,77.610604,BLR-CEN,CREATED,,,
ORD-000009,CUS-000045,2026-08-15 08:44:27,2026-08-15 08:44:47,12.956163,77.601593,BLR-CEN,CREATED,,,
ORD-000010,CUS-000064,2026-08-15 22:31:45,2026-08-15 22:32:02,12.948295,77.649274,BLR-EST,CREATED,,,
ORD-000011,CUS-000081,2026-08-15 13:36:36,2026-08-15 13:37:14,12.98155,77.563398,BLR-WST,CREATED,,,
ORD-000012,CUS-000020,2026-08-15 21:42:07,2026-08-15 21:42:48,12.978474,77.591773,BLR-CEN,CREATED,,,
ORD-000013,CUS-000006,2026-08-15 22:52:26,2026-08-15 22:52:55,13.079715,77.610759,BLR-NTH,CREATED,,,
ORD-000014,CUS-000014,2026-08-15 12:38:54,2026-08-15 12:39:33,12.980359,77.677561,BLR-EST,CREATED,,,
ORD-000015,CUS-000023,2026-08-15 18:32:19,2026-08-15 18:32:55,12.957179,77.529893,BLR-WST,CREATED,,,
ORD-000016,CUS-000024,2026-08-15 13:00:21,2026-08-15 13:00:39,12.949822,77.503315,BLR-WST,CREATED,,,
ORD-000017,CUS-000065,2026-08-15 09:57:57,2026-08-15 09:58:02,12.976037,77.700495,BLR-EST,CREATED,,,
ORD-000018,CUS-000071,2026-08-15 19:24:45,2026-08-15 19:25:10,13.059115,77.556803,BLR-NTH,CREATED,,,
ORD-000019,CUS-000054,2026-08-15 13:36:51,2026-08-15 13:36:57,12.971034,77.522315,BLR-WST,CREATED,,,
ORD-000020,CUS-000035,2026-08-15 12:00:21,2026-08-15 12:00:29,12.940955,77.51314,BLR-WST,CREATED,,,
ORD-000021,CUS-000085,2026-08-15 12:09:53,2026-08-15 12:10:31,12.959198,77.585205,BLR-CEN,CREATED,,,
ORD-000022,CUS-000046,2026-08-15 23:07:58,2026-08-15 23:08:40,12.954615,77.602155,BLR-CEN,CREATED,,,
ORD-000023,CUS-000045,2026-08-15 08:09:55,2026-08-15 08:10:12,12.956163,77.601593,BLR-CEN,CREATED,,,
ORD-000024,CUS-000033,2026-08-15 23:00:34,2026-08-15 23:00:40,12.972675,77.644252,BLR-EST,CREATED,,,
ORD-000025,CUS-000093,2026-08-15 17:55:20,2026-08-15 17:55:37,12.901166,77.580937,BLR-STH,CREATED,,,
ORD-000026,CUS-000046,2026-08-15 11:06:52,2026-08-15 11:07:21,12.954615,77.602155,BLR-CEN,CREATED,,,
ORD-000027,CUS-000087,2026-08-15 21:51:41,2026-08-15 21:52:10,12.887577,77.567388,BLR-STH,CREATED,,,
ORD-000028,CUS-000004,2026-08-15 19:58:20,2026-08-15 19:58:33,12.886919,77.582265,BLR-STH,CREATED,,,
ORD-000029,CUS-000066,2026-08-15 23:33:49,2026-08-15 23:34:27,12.97126,77.616798,BLR-CEN,CREATED,,,
ORD-000030,CUS-000080,2026-08-15 13:56:09,2026-08-15 13:56:25,12.933702,77.528733,BLR-WST,CREATED,,,
ORD-000031,CUS-000070,2026-08-15 11:52:47,2026-08-15 11:52:57,12.884259,77.557483,BLR-STH,CREATED,,,
ORD-000032,CUS-000038,2026-08-15 13:05:22,2026-08-15 13:05:33,12.988322,77.638966,BLR-EST,CREATED,,,
ORD-000033,CUS-000044,2026-08-15 23:06:51,2026-08-15 23:07:23,13.070324,77.623685,BLR-NTH,CREATED,,,
ORD-000034,CUS-000084,2026-08-15 23:57:33,2026-08-15 23:58:09,12.954093,77.524611,BLR-WST,CREATED,,,
ORD-000035,CUS-000022,2026-08-15 13:00:34,2026-08-15 13:01:18,12.99007,77.61405,BLR-CEN,CREATED,,,
ORD-000036,CUS-000065,2026-08-15 09:59:06,2026-08-15 09:59:50,12.976037,77.700495,BLR-EST,CREATED,,,
ORD-000037,CUS-000015,2026-08-15 17:56:26,2026-08-15 17:57:05,13.082546,77.568893,BLR-NTH,CREATED,,,
ORD-000038,CUS-000040,2026-08-15 22:38:38,2026-08-15 22:38:50,13.03064,77.565546,BLR-NTH,CREATED,,,
ORD-000039,CUS-000004,2026-08-15 11:44:43,2026-08-15 11:45:23,12.886919,77.582265,BLR-STH,CREATED,,,
ORD-000040,CUS-000100,2026-08-15 08:46:23,2026-08-15 08:46:38,12.969027,77.61954,BLR-CEN,CREATED,,,
ORD-000041,CUS-000022,2026-08-15 12:45:57,2026-08-15 12:46:33,12.99007,77.61405,BLR-CEN,CREATED,,,
ORD-000042,CUS-000037,2026-08-15 12:38:02,2026-08-15 12:38:37,12.964425,77.504424,BLR-WST,CREATED,,,
ORD-000043,CUS-000068,2026-08-15 08:29:16,2026-08-15 08:29:39,12.952699,77.613308,BLR-CEN,CREATED,,,
ORD-000044,CUS-000051,2026-08-15 13:18:26,2026-08-15 13:18:54,13.01975,77.598806,BLR-NTH,CREATED,,,
ORD-000045,CUS-000077,2026-08-15 17:04:39,2026-08-15 17:04:48,13.084411,77.557139,BLR-NTH,CREATED,,,
ORD-000046,CUS-000056,2026-08-15 17:52:36,2026-08-15 17:53:07,12.908766,77.59073,BLR-STH,CREATED,,,
ORD-000047,CUS-000062,2026-08-15 07:39:40,2026-08-15 07:39:52,12.930784,77.556923,BLR-STH,CREATED,,,
ORD-000048,CUS-000013,2026-08-15 13:28:25,2026-08-15 13:28:37,12.949544,77.561332,BLR-WST,CREATED,,,
ORD-000049,CUS-000024,2026-08-15 13:45:53,2026-08-15 13:46:02,13.038963,77.594515,BLR-NTH,CREATED,,,
ORD-000050,CUS-000054,2026-08-15 22:41:53,2026-08-15 22:42:32,12.971034,77.522315,BLR-WST,CREATED,,,
ORD-000051,CUS-000098,2026-08-15 23:01:30,2026-08-15 23:01:52,12.895199,77.565781,BLR-STH,CREATED,,,
ORD-000052,CUS-000091,2026-08-15 08:33:49,2026-08-15 08:34:05,12.949395,77.670721,BLR-EST,CREATED,,,
ORD-000053,CUS-000004,2026-08-15 23:33:12,2026-08-15 23:33:42,12.886919,77.582265,BLR-STH,CREATED,,,
ORD-000054,CUS-000060,2026-08-15 12:21:11,2026-08-15 12:21:28,12.989918,77.673802,BLR-EST,CREATED,,,
ORD-000055,CUS-000086,2026-08-15 12:06:12,2026-08-15 12:06:25,12.952599,77.573102,BLR-CEN,CREATED,,,
ORD-000056,CUS-000023,2026-08-15 23:11:30,2026-08-15 23:11:58,12.963275,77.519567,BLR-WST,CREATED,,,
ORD-000057,CUS-000090,2026-08-15 11:16:59,2026-08-15 11:17:26,13.054975,77.591084,BLR-NTH,CREATED,,,
ORD-000058,CUS-000092,2026-08-15 18:21:57,2026-08-15 18:22:24,13.044784,77.557841,BLR-NTH,CREATED,,,
ORD-000059,CUS-000052,2026-08-15 12:02:48,2026-08-15 12:03:29,12.967044,77.509414,BLR-WST,CREATED,,,
ORD-000060,CUS-000068,2026-08-15 18:00:42,2026-08-15 18:01:27,13.035762,77.58713,BLR-NTH,CREATED,,,
ORD-000061,CUS-000096,2026-08-15 08:43:05,2026-08-15 08:43:38,12.877462,77.608508,BLR-STH,CREATED,,,
ORD-000062,CUS-000092,2026-08-15 07:54:52,2026-08-15 07:55:17,12.873053,77.575937,BLR-STH,CREATED,,,
ORD-000063,CUS-000066,2026-08-15 20:10:45,2026-08-15 20:11:25,12.97126,77.616798,BLR-CEN,CREATED,,,
ORD-000064,CUS-000079,2026-08-15 17:51:20,2026-08-15 17:51:40,12.975818,77.604538,BLR-CEN,CREATED,,,
ORD-000065,CUS-000007,2026-08-15 09:45:17,2026-08-15 09:46:01,12.9096,77.617903,BLR-STH,CREATED,,,
ORD-000066,CUS-000051,2026-08-15 08:20:51,2026-08-15 08:21:09,12.986839,77.616028,BLR-CEN,CREATED,,,
