assignment_id,delivery_id,rider_id,offered_at,responded_at,response,rejection_reason
RA-0000001,DEL-000043,RID-000042,15-08-2026 07:19,15-08-2026 07:20,EXPIRED,
RA-0000002,DEL-000034,RID-000048,15-08-2026 07:25,15-08-2026 07:26,REJECTED,PERSONAL_REASON
RA-0000003,DEL-000034,RID-000002,15-08-2026 07:25,15-08-2026 07:26,ACCEPTED,
RA-0000004,DEL-000014,RID-000017,15-08-2026 07:40,15-08-2026 07:40,ACCEPTED,
RA-0000005,DEL-000065,RID-000028,15-08-2026 07:51,15-08-2026 07:52,REJECTED,TOO_FAR
RA-0000006,DEL-000065,RID-000011,15-08-2026 07:51,15-08-2026 07:52,ACCEPTED,
RA-0000007,DEL-000079,RID-000050,15-08-2026 08:01,15-08-2026 08:02,ACCEPTED,
RA-0000008,DEL-000064,RID-000035,15-08-2026 08:27,15-08-2026 08:28,REJECTED,BUSY
RA-0000009,DEL-000064,RID-000038,15-08-2026 08:27,15-08-2026 08:28,ACCEPTED,
RA-0000010,DEL-000007,RID-000040,15-08-2026 08:32,15-08-2026 08:33,ACCEPTED,
RA-0000011,DEL-000078,RID-000022,15-08-2026 08:44,15-08-2026 08:45,ACCEPTED,
RA-0000012,DEL-000084,RID-000014,15-08-2026 08:45,15-08-2026 08:47,ACCEPTED,
RA-0000013,DEL-000051,RID-000034,15-08-2026 08:52,15-08-2026 08:53,ACCEPTED,
RA-0000014,DEL-000003,RID-000035,15-08-2026 09:06,15-08-2026 09:07,ACCEPTED,
RA-0000015,DEL-000080,RID-000013,15-08-2026 09:09,15-08-2026 09:10,ACCEPTED,
RA-0000016,DEL-000087,RID-000011,15-08-2026 09:15,15-08-2026 09:16,ACCEPTED,
RA-0000017,DEL-000039,RID-000026,15-08-2026 09:18,15-08-2026 09:19,ACCEPTED,
RA-0000018,DEL-000062,RID-000043,15-08-2026 09:48,15-08-2026 09:49,REJECTED,BUSY
RA-0000019,DEL-000062,RID-000015,15-08-2026 09:48,15-08-2026 09:50,ACCEPTED,
RA-0000020,DEL-000050,RID-000024,15-08-2026 09:58,15-08-2026 09:59,ACCEPTED,
RA-0000021,DEL-000028,RID-000045,15-08-2026 11:11,15-08-2026 11:11,ACCEPTED,
RA-0000022,DEL-000029,RID-000003,15-08-2026 11:11,15-08-2026 11:12,EXPIRED,
RA-0000023,DEL-000029,RID-000032,15-08-2026 11:11,15-08-2026 11:12,ACCEPTED,
RA-0000024,DEL-000088,RID-000021,15-08-2026 11:28,15-08-2026 11:28,REJECTED,OUTSIDE_PREFERRED_ZONE
RA-0000025,DEL-000088,RID-000048,15-08-2026 11:28,15-08-2026 11:28,ACCEPTED,
RA-0000026,DEL-000054,RID-000039,15-08-2026 11:29,15-08-2026 11:30,ACCEPTED,
RA-0000027,DEL-000089,RID-000003,15-08-2026 11:29,15-08-2026 11:30,ACCEPTED,
