rider_id,vehicle_type,home_zone,status,joined_at,deactivated_at
RID-000001,BIKE,BLR-NTH,ACTIVE,2025-07-09 00:00:00,
RID-000002,SCOOTER,BLR-WST,ACTIVE,2025-12-03 00:00:00,
RID-000003,SCOOTER,BLR-STH,ACTIVE,2025-10-19 00:00:00,
RID-000004,SCOOTER,BLR-CEN,ACTIVE,2025-08-23 00:00:00,
RID-000005,BIKE,BLR-WST,ACTIVE,2025-04-01 00:00:00,
RID-000006,SCOOTER,BLR-EST,ACTIVE,2025-12-06 00:00:00,
RID-000007,BIKE,BLR-CEN,ACTIVE,2025-10-10 00:00:00,
RID-000008,SCOOTER,BLR-WST,ACTIVE,2025-10-03 00:00:00,
RID-000009,BIKE,BLR-CEN,ACTIVE,2025-09-26 00:00:00,
RID-000010,SCOOTER,BLR-NTH,ACTIVE,2025-02-25 00:00:00,
RID-000011,SCOOTER,BLR-STH,ACTIVE,2025-11-13 00:00:00,
RID-000012,BIKE,BLR-WST,ACTIVE,2025-05-23 00:00:00,
RID-000013,SCOOTER,BLR-NTH,ACTIVE,2025-11-03 00:00:00,
RID-000014,BIKE,BLR-NTH,ACTIVE,2025-03-21 00:00:00,
RID-000015,BIKE,BLR-STH,ACTIVE,2025-02-27 00:00:00,
RID-000016,BIKE,BLR-WST,ACTIVE,2025-11-03 00:00:00,
RID-000017,BIKE,BLR-WST,ACTIVE,2025-01-21 00:00:00,
RID-000018,SCOOTER,BLR-NTH,ACTIVE,2025-06-29 00:00:00,
RID-000019,SCOOTER,BLR-CEN,ACTIVE,2025-05-24 00:00:00,
RID-000020,SCOOTER,BLR-CEN,ACTIVE,2025-07-14 00:00:00,
RID-000021,BIKE,BLR-EST,ACTIVE,2025-11-06 00:00:00,
RID-000022,SCOOTER,BLR-CEN,ACTIVE,2025-04-29 00:00:00,
RID-000023,SCOOTER,BLR-STH,ACTIVE,2025-05-07 00:00:00,
RID-000024,SCOOTER,BLR-EST,ACTIVE,2025-11-25 00:00:00,
RID-000025,BIKE,BLR-CEN,ACTIVE,2025-07-24 00:00:00,
RID-000026,SCOOTER,BLR-NTH,ACTIVE,2025-07-13 00:00:00,
RID-000027,BIKE,BLR-WST,ACTIVE,2025-02-16 00:00:00,
RID-000028,SCOOTER,BLR-EST,ACTIVE,2025-08-27 00:00:00,
RID-000029,BIKE,BLR-NTH,ACTIVE,2025-06-24 00:00:00,
RID-000030,BIKE,BLR-CEN,ACTIVE,2025-12-13 00:00:00,
RID-000031,SCOOTER,BLR-CEN,ACTIVE,2025-10-14 00:00:00,
RID-000032,SCOOTER,BLR-STH,ACTIVE,2025-06-02 00:00:00,
RID-000033,SCOOTER,BLR-STH,ACTIVE,2025-09-26 00:00:00,
RID-000034,BIKE,BLR-NTH,ACTIVE,2025-05-01 00:00:00,
RID-000035,BIKE,BLR-NTH,ACTIVE,2025-12-13 00:00:00,
RID-000036,BIKE,BLR-EST,ACTIVE,2025-05-31 00:00:00,
RID-000037,BIKE,BLR-STH,ACTIVE,2025-01-21 00:00:00,
RID-000038,BIKE,BLR-WST,ACTIVE,2025-05-09 00:00:00,
RID-000039,BIKE,BLR-WST,ACTIVE,2025-03-07 00:00:00,
RID-000040,BIKE,BLR-NTH,ACTIVE,2025-07-04 00:00:00,
RID-000041,BIKE,BLR-CEN,ACTIVE,2025-11-21 00:00:00,
RID-000042,SCOOTER,BLR-STH,ACTIVE,2025-10-06 00:00:00,
RID-000043,BIKE,BLR-EST,ACTIVE,2025-12-27 00:00:00,
RID-000044,SCOOTER,BLR-EST,ACTIVE,2025-11-02 00:00:00,
RID-000045,SCOOTER,BLR-WST,ACTIVE,2025-04-06 00:00:00,
RID-000046,BIKE,BLR-STH,ACTIVE,2025-10-17 00:00:00,
RID-000047,SCOOTER,BLR-EST,ACTIVE,2025-09-27 00:00:00,
RID-000048,SCOOTER,BLR-STH,ACTIVE,2025-02-15 00:00:00,
RID-000049,SCOOTER,BLR-STH,ACTIVE,2025-03-13 00:00:00,
RID-000050,BIKE,BLR-EST,ACTIVE,2025-07-01 00:00:00,
