staffing_snapshot_id,store_id,recorded_at,pickers_scheduled,pickers_available,packers_scheduled,packers_available
STAFF-0000001,STR-001,15-08-2026 00:00,3,3,2,2
STAFF-0000002,STR-001,15-08-2026 01:00,3,2,2,2
STAFF-0000003,STR-001,15-08-2026 02:00,3,3,2,2
STAFF-0000004,STR-001,15-08-2026 03:00,3,3,2,2
STAFF-0000005,STR-001,15-08-2026 04:00,3,3,2,2
STAFF-0000006,STR-001,15-08-2026 05:00,3,3,2,2
STAFF-0000007,STR-001,15-08-2026 06:00,3,2,2,2
STAFF-0000008,STR-001,15-08-2026 07:00,4,4,2,2
STAFF-0000009,STR-001,15-08-2026 08:00,4,4,2,2
STAFF-0000010,STR-001,15-08-2026 09:00,4,4,2,2
STAFF-0000011,STR-001,15-08-2026 10:00,4,4,2,2
STAFF-0000012,STR-001,15-08-2026 11:00,5,5,2,2
STAFF-0000013,STR-001,15-08-2026 12:00,5,4,2,2
STAFF-0000014,STR-001,15-08-2026 13:00,5,4,2,2
STAFF-0000015,STR-001,15-08-2026 14:00,3,3,2,2
STAFF-0000016,STR-001,15-08-2026 15:00,3,3,2,2
STAFF-0000017,STR-001,15-08-2026 16:00,3,3,2,2
STAFF-0000018,STR-001,15-08-2026 17:00,5,5,2,2
STAFF-0000019,STR-001,15-08-2026 18:00,5,4,2,2
STAFF-0000020,STR-001,15-08-2026 19:00,5,5,2,2
STAFF-0000021,STR-001,15-08-2026 20:00,5,5,2,2
STAFF-0000022,STR-001,15-08-2026 21:00,5,5,2,2
STAFF-0000023,STR-001,15-08-2026 22:00,3,3,2,2
STAFF-0000024,STR-001,15-08-2026 23:00,3,3,2,2
STAFF-0000025,STR-002,15-08-2026 00:00,2,2,2,2
STAFF-0000026,STR-002,15-08-2026 01:00,2,2,2,2
STAFF-0000027,STR-002,15-08-2026 02:00,2,2,2,2
STAFF-0000028,STR-002,15-08-2026 03:00,2,2,2,2
STAFF-0000029,STR-002,15-08-2026 04:00,2,2,2,2
STAFF-0000030,STR-002,15-08-2026 05:00,2,2,2,2
STAFF-0000031,STR-002,15-08-2026 06:00,2,2,2,2
STAFF-0000032,STR-002,15-08-2026 07:00,3,3,2,2
STAFF-0000033,STR-002,15-08-2026 08:00,3,2,2,2
STAFF-0000034,STR-002,15-08-2026 09:00,3,3,2,2
STAFF-0000035,STR-002,15-08-2026 10:00,3,3,2,2
STAFF-0000036,STR-002,15-08-2026 11:00,4,2,2,2
STAFF-0000037,STR-002,15-08-2026 12:00,4,4,2,2
STAFF-0000038,STR-002,15-08-2026 13:00,4,4,2,2
STAFF-0000039,STR-002,15-08-2026 14:00,2,2,2,2
STAFF-0000040,STR-002,15-08-2026 15:00,2,2,2,2
STAFF-0000041,STR-002,15-08-2026 16:00,2,2,2,2
STAFF-0000042,STR-002,15-08-2026 17:00,4,4,2,2
STAFF-0000043,STR-002,15-08-2026 18:00,4,4,2,2
STAFF-0000044,STR-002,15-08-2026 19:00,4,2,2,2
STAFF-0000045,STR-002,15-08-2026 20:00,4,4,2,2
